title,link
Intel shows 8 core 528 thread processor with silicon photonics,https://www.servethehome.com/intel-shows-8-core-528-thread-processor-with-silicon-photonics/
ISPs should not police online speech no matter how awful it is,https://www.eff.org/deeplinks/2023/08/isps-should-not-police-online-speech-no-matter-how-awful-it
"Griffin – A fully-regulated, API-driven bank, with Clojure",https://www.juxt.pro/blog/clojure-in-griffin/
Keystroke timing obfuscation added to ssh(1),https://undeadly.org/cgi?action=article;sid=20230829051257
"DOS/4GW made Windows 95 game compatibility easier, but with higher stakes",https://devblogs.microsoft.com/oldnewthing/20230829-00/?p=108661
Doas – dedicated OpenBSD application subexecutor,https://flak.tedunangst.com/post/doas
How far can you jump from a swing?,https://www.alexmolas.com/2023/08/18/how-far-can-you-jump.html
"MapReduce, TensorFlow, Vertex: Google's bet to avoid repeating history in AI",https://www.supervised.news/p/mapreduce-tensorflow-bard-also-hello
Webstudio: Open-source WYSIWYG adds Radix UI elements,https://webstudio.is/radix
MagicEdit: High-fidelity temporally coherent video editing,https://magic-edit.github.io/
A cheap radio hack disrupted Poland's railway system,https://www.wired.com/story/poland-train-radio-stop-attack/
The first observation of neutrinos at CERN's Large Hadron Collider,https://phys.org/news/2023-08-neutrinos-cern-large-hadron-collider.html
Baby's First WASM Compiler,https://www.scattered-thoughts.net/writing/babys-first-wasm-compiler/
Pgvector 0.5.0 Feature Highlights and how tos,https://jkatz05.com/post/postgres/pgvector-overview-0.5.0/
Hacking GTA V RP Servers Using Web Exploitation Techniques,https://www.nullpt.rs/hacking-gta-servers-using-web-exploitation
Accessible Palette: stop using HSL for color systems (2021),https://wildbit.com/blog/accessible-palette-stop-using-hsl-for-color-systems
A Green Revolution in ‘Carbon Valley’,https://www.noemamag.com/a-green-revolution-in-carbon-valley/
"OneSignal (YC S11), email/SMS push notification platform, is hiring engineers",https://onesignal.com/careers#section-job
Starlink's User Terminal Firmware,https://blog.quarkslab.com/starlink.html
"Meta AI releases CoTracker, a model for tracking any points (pixels) on a video",https://co-tracker.github.io/
Grave flaws in BGP Error handling,https://blog.benjojo.co.uk/post/bgp-path-attributes-grave-error-handling
"FBI, partners dismantle Qakbot infrastructure",https://www.fbi.gov/news/stories/fbi-partners-dismantle-qakbot-infrastructure-in-multinational-cyber-takedown
C.R. Rao: A Life in Statistics (2020),https://bhavana.org.in/c-r-rao-a-life-in-statistics/
